address,alt_addr,canonical_addr,used,type,class_,icon,latitude,longitude,found_country,country_code,country_name
"Washington, District of Columbia, USA",,,1,,,,38.8950368,-77.0365427,True,US,USA
"Hope, Hempstead, Arkansas, USA",,,1,,,,33.6670616,-93.5915665,True,US,USA
"Chicago, Cook, Illinois, USA",,,1,,,,41.8755616,-87.6244212,True,US,USA
"Sherman, Grayson, Texas, USA",,,1,,,,33.6398609,-96.6089146,True,US,USA
"Missouri, USA",,,1,,,,38.7604815,-92.5617875,True,US,USA
"Sikeston, Scott, Missouri, USA",,,1,,,,36.876719,-89.5878579,True,US,USA
"Bodcaw, Nevada, Arkansas, USA",,,1,,,,33.5579004,-93.4063842,True,US,USA
"Tippah, Mississippi, USA",,,1,,,,34.7296814,-88.9119403,True,US,USA
"Grayson, Texas, USA",,,1,,,,33.5636114,-96.6702111,True,US,USA
"Parker Twp, Nevada, Arkansas, USA",,,1,,,,33.6413476,-93.3055491,True,US,USA
"Falkner, Tippah, Mississippi, USA",,,1,,,,34.8420376,-88.934228,True,US,USA
"Franklin, Georgia, USA",,,1,,,,34.3678642,-83.2156575,True,US,USA
"Florida, USA",,,1,,,,27.7567667,-81.4639835,True,US,USA
"Kossuth, Alcorn, Mississippi, USA",,,1,,,,34.8732672,-88.6405963,True,US,USA
"Coffee, Alabama, USA",,,1,,,,31.3629619,-85.9870669,True,US,USA
"Red Level, Covington, Alabama, USA",,,1,,,,31.4071111,-86.6121861,True,US,USA
"Covington, Alabama, USA",,,1,,,,31.196549,-86.4597236,True,US,USA
"Butler, Alabama, USA",,,1,,,,31.7340713,-86.6754793,True,US,USA
"Ebenezer Cemetery, Parker, Nevada, Arkansas, USA",,,1,,,,33.6413476,-93.3055491,True,US,USA
"Union, Louisiana, USA",,,1,,,,32.8385899,-92.3910295,True,US,USA
"Oak Grove Cemetery, DeRoan Twp, Hempstead, Arkansas, USA",,,1,,,,33.6949319,-93.6929825,True,US,USA
"Hempstead, Arkansas, USA",,,1,,,,33.6949319,-93.6929825,True,US,USA
"Alabama, USA",,,1,,,,33.2588817,-86.8295337,True,US,USA
"Rutherford, Tennessee, USA",,,1,,,,35.8563421,-86.4205249,True,US,USA
"Tennessee, USA",,,1,,,,35.7730076,-86.2820081,True,US,USA
"Parker, Texas, USA",,,1,,,,32.7772597,-97.8045599,True,US,USA
"North Carolina, USA",,,1,,,,35.6729639,-79.0392919,True,US,USA
"Ripley, Tippah, Mississippi, USA",,,1,,,,34.7307014,-88.9488276,True,US,USA
Ireland,,,1,,,,52.865196,-7.9794599,True,IE,Ireland
"Carnesville, Franklin, Georgia, USA",,,1,,,,34.3698266,-83.235155,True,US,USA
"Chesterfield, South Carolina, USA",,,1,,,,34.6500578,-80.1417843,True,US,USA
"Early, Georgia, USA",,,1,,,,31.3454341,-84.9282058,True,US,USA
"South Carolina, USA",,,1,,,,33.6874388,-80.4363743,True,US,USA
"Kershaw, South Carolina, USA",,,1,,,,34.3334398,-80.5669895,True,US,USA
"Shover Springs, Hempstead, Arkansas, USA",,,1,,,,33.6228953,-93.5304543,True,US,USA
"McMinn, Tennessee, USA",,,1,,,,35.444223,-84.624875,True,US,USA
"Arkansas, USA",,,1,,,,35.2048883,-92.4479108,True,US,USA
"Union, Mississippi, USA",,,1,,,,34.4834555,-88.9789198,True,US,USA
"Marshall, Mississippi, USA",,,1,,,,34.7329208,-89.4725635,True,US,USA
"Randolph, North Carolina, USA",,,1,,,,35.7142874,-79.7975166,True,US,USA
"Kentucky, USA",,,1,,,,37.5726028,-85.1551411,True,US,USA
"Anson, North Carolina, USA",,,1,,,,34.9705848,-80.0958187,True,US,USA
"Orangeburg, South Carolina, USA",,,1,,,,33.4918203,-80.8556476,True,US,USA
"Longstreet, Coffee, Alabama, USA",,,1,,,,31.3629619,-85.9870669,True,US,USA
"Darlington, Darlington, South Carolina, USA",,,1,,,,34.3028537,-79.8710831,True,US,USA
"Ramer, Montgomery, Alabama, USA",,,1,,,,32.0500362,-86.2199457,True,US,USA
"Montgomery, Alabama, USA",,,1,,,,32.37742,-86.3091683,True,US,USA
"Mt. Pleasant, Crenshaw, Alabama, USA",,,1,,,,31.8324874,-86.3114018,True,US,USA
"Crenshaw, Alabama, USA",,,1,,,,31.6809362,-86.3244009,True,US,USA
"Lincoln, North Carolina, USA",,,1,,,,35.4866424,-81.2062724,True,US,USA
"Macon, Tennessee, USA",,,1,,,,36.5237906,-86.0130908,True,US,USA
"Little Rock, Pulaski, Arkansas, USA",,,1,,,,34.7465071,-92.2896267,True,US,USA
"Tipperary, Ireland",,,1,,,,52.4734839,-8.1614446,True,IE,Ireland
"London, England",,,1,,,,51.4893335,-0.1440551,True,GB,England
"Java, Wyoming, New York, USA",,,1,,,,42.6609691,-78.3886656,True,US,USA
"Fulton, Whiteside, Illinois, USA",,,1,,,,41.8662157,-90.1657833,True,US,USA
"Beverly Hills, Los Angeles, California, USA",,,1,,,,34.0696501,-118.3963062,True,US,USA
"Illinois, USA",,,1,,,,40.0796606,-89.4337288,True,US,USA
"Clarkson, Monroe, New York, USA",,,1,,,,43.233116,-77.927513,True,US,USA
"New York, USA",,,1,,,,40.7127281,-74.0060152,True,US,USA
"Renfrewshire, Scotland",,,1,,,,55.833333,-4.5,True,GB,Scotland
"Queens, New Brunswick, Canada",,,1,,,,45.8838758,-65.9861428,True,CA,Canada
"Argyle, Scotland",,,1,,,,55.9523918,-3.2086898,True,GB,Scotland
"Paisley, Renfrewshire, Scotland",,,1,,,,55.8455828,-4.4239646,True,GB,Scotland
